strategy,window_start,window_end,profitable,number_of_trades,total_deployed,gross_profit,net_profit,return_on_deployed_capital,average_net_profit_per_trade,median_net_profit_per_trade,win_rate,best_trade,worst_trade,profit_factor,max_drawdown
buy_after_first_green_after_red,2017-05-01,2018-04-30,True,57,5700.0,4.947479820298451,3.8074798202984494,0.0006679789158418332,0.06679789158418332,0.008835063437138153,0.5087719298245614,1.4029777480660788,-2.2970398481973486,1.311983928851184,-4.22200417605386
buy_after_first_green_after_red,2017-06-01,2018-05-31,True,58,5800.0,3.2232262288422575,2.0632262288422565,0.00035572866014521663,0.03557286601452166,-0.014941319303920491,0.4827586206896552,1.4029777480660788,-2.2970398481973486,1.1481879197997797,-4.22200417605386
buy_after_first_green_after_red,2017-07-01,2018-06-30,True,61,6100.0,1.6134463264395387,0.3934463264395367,6.449939777697323e-05,0.006449939777697323,-0.02,0.47540983606557374,1.4029777480660788,-2.2970398481973486,1.0247476583840935,-4.22200417605386
buy_after_first_green_after_red,2017-08-01,2018-07-31,True,61,6100.0,3.098283274554692,1.8782832745546902,0.000307915290910605,0.030791529091060497,0.008835063437138153,0.5081967213114754,1.4029777480660788,-2.2970398481973486,1.1189717357196107,-4.22200417605386
buy_after_first_green_after_red,2017-09-01,2018-08-31,True,60,6000.0,5.045629720270894,3.8456297202708933,0.0006409382867118156,0.06409382867118156,0.046442443997316576,0.5333333333333333,1.4029777480660788,-2.2970398481973486,1.2742035152537605,-4.222004176053859
buy_after_first_green_after_red,2017-10-01,2018-09-30,True,61,6100.0,4.534147612210148,3.3141476122101476,0.0005433028872475652,0.054330288724756516,0.031639555899818386,0.5245901639344263,1.4029777480660788,-2.2970398481973486,1.2295149416324271,-4.222004176053859
buy_after_first_green_after_red,2017-11-01,2018-10-31,True,63,6300.0,2.778741489070269,1.5187414890702677,0.00024107007763020123,0.024107007763020123,-0.04560382350430546,0.47619047619047616,1.4029777480660788,-2.2970398481973486,1.094915720718486,-4.222004176053859
buy_after_first_green_after_red,2017-12-01,2018-11-30,True,60,6000.0,3.826536939322844,2.6265369393228433,0.0004377561565538072,0.04377561565538072,-0.03280191175215273,0.48333333333333334,1.4029777480660788,-2.2970398481973486,1.169322335675236,-4.222004176053859
buy_after_first_green_after_red,2018-01-01,2018-12-31,True,57,5700.0,3.976164125559822,2.836164125559821,0.0004975726536069861,0.04975726536069861,-0.04560382350430546,0.47368421052631576,1.4029777480660788,-2.2970398481973486,1.1835644101219147,-4.22200417605386
buy_after_first_green_after_red,2018-02-01,2019-01-31,True,59,5900.0,2.686042510095399,1.5060425100953978,0.0002552614423890505,0.02552614423890505,-0.04560382350430546,0.4745762711864407,1.4029777480660788,-2.2970398481973486,1.0945089754428488,-4.22200417605386
buy_after_first_green_after_red,2018-03-01,2019-02-28,True,61,6100.0,1.3423844154365594,0.12238441543655831,2.0063018924025952e-05,0.0020063018924025952,-0.04560382350430546,0.47540983606557374,1.4029777480660788,-2.2970398481973486,1.0078204280317256,-4.22200417605386
buy_after_first_green_after_red,2018-04-01,2019-03-31,False,64,6400.0,-0.26002664095550143,-1.540026640955503,-0.00024062916264929734,-0.024062916264929735,-0.03280191175215273,0.484375,1.4029777480660788,-2.2970398481973486,0.9110197371511792,-4.4297696392219255
buy_after_first_green_after_red,2018-05-01,2019-04-30,False,64,6400.0,-2.7837475123939193,-4.06374751239392,-0.0006349605488115501,-0.063496054881155,-0.05177724382046332,0.46875,1.16742281751687,-1.7248435041091104,0.7362216419871163,-4.4297696392219255
buy_after_first_green_after_red,2018-06-01,2019-05-31,False,64,6400.0,-4.7673574863302814,-6.047357486330283,-0.0009448996072391067,-0.09448996072391067,-0.03280191175215273,0.484375,0.9819228822993664,-1.8216442189959792,0.6579044585948216,-6.97135519181185
buy_after_first_green_after_red,2018-07-01,2019-06-30,False,61,6100.0,0.28061353096691155,-0.9393864690330904,-0.00015399778180870334,-0.015399778180870335,0.031639555899818386,0.5081967213114754,1.83185185185186,-1.8216442189959792,0.9364015144208963,-6.237167568682638
buy_after_first_green_after_red,2018-08-01,2019-07-31,False,62,6200.0,-0.3493708361263166,-1.5893708361263186,-0.00025635013485908367,-0.025635013485908364,-0.024136333553939054,0.4838709677419355,1.83185185185186,-1.8216442189959792,0.8988267983236613,-6.237167568682637
buy_after_first_green_after_red,2018-09-01,2019-08-31,False,62,6200.0,-0.7561322972440832,-1.9961322972440843,-0.0003219568221361426,-0.03219568221361426,-0.024136333553939054,0.4838709677419355,1.83185185185186,-3.099153872398499,0.888748037517398,-6.237167568682637
buy_after_first_green_after_red,2018-10-01,2019-09-30,False,61,6100.0,-0.5551484340643342,-1.7751484340643353,-0.00029100794001054675,-0.029100794001054676,-0.02,0.4918032786885246,1.83185185185186,-3.099153872398499,0.89972736237724,-6.237167568682638
buy_after_first_green_after_red,2018-11-01,2019-10-31,False,64,6400.0,-0.10129090927281093,-1.381290909272812,-0.00021582670457387688,-0.02158267045738769,-0.003273444461062685,0.5,1.83185185185186,-3.099153872398499,0.9273529098302956,-6.237167568682638
buy_after_first_green_after_red,2018-12-01,2019-11-30,False,65,6500.0,-0.10862752006201015,-1.4086275200620113,-0.00021671192616338635,-0.021671192616338635,0.043017644940588365,0.5230769230769231,1.83185185185186,-3.099153872398499,0.9249374605855448,-6.237167568682638
buy_after_first_green_after_red,2019-01-01,2019-12-31,False,67,6700.0,-0.04655221911034069,-1.3865522191103419,-0.00020694809240452865,-0.020694809240452864,0.04942636466198415,0.5373134328358209,1.83185185185186,-3.099153872398499,0.9251879515708933,-6.237167568682638
buy_after_first_green_after_red,2019-02-01,2020-01-31,False,70,7000.0,-2.086096025854778,-3.486096025854779,-0.0004980137179792541,-0.04980137179792542,0.03237171156317055,0.5142857142857142,1.83185185185186,-3.099153872398499,0.8379391637354491,-6.014888015213961
buy_after_first_green_after_red,2019-03-01,2020-02-29,False,68,6800.0,-1.3842688796246838,-2.744268879624685,-0.0004035689528859831,-0.04035689528859831,0.03557607142386844,0.5147058823529411,1.83185185185186,-3.099153872398499,0.875156106271078,-4.8299504005530185
